,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,when is the last episode of season 8 of the walking dead,"March 18, 2018","April 15, 2018",0.3333333333333333,0.31292009353637695,65,9,56
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.4045848846435547,59,5,54
2,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.3623507022857666,57,4,53
3,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.3735361099243164,59,4,55
4,when was the first robot used in surgery,1983,1985,0.0,0.2947409152984619,55,4,51
5,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.3414287567138672,59,5,54
6,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,0.32112550735473633,58,4,54
7,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Africa,0.11764705882352941,0.27419328689575195,55,3,52
8,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,0.32054877281188965,57,8,51
9,where was donovan mitchell picked in the draft,13th,13th,1.0,0.31238770484924316,58,4,54
10,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,Roof of Apple Corps headquarters,0.5555555555555556,0.38336682319641113,61,4,53
11,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.3547251224517822,62,8,54
12,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.3600475788116455,56,4,52
13,how many beverly hills cops movies are there,three,3,0.0,0.35471677780151367,56,3,53
14,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.3734614849090576,60,8,52
15,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,"Saying ""Jinx, you owe me a coke"" comes from the game where if two people say the same thing at the same time, one can call 'jinx' and the other owes them a coke.",0.24489795918367344,0.9217491149902344,100,4,54
16,where does the last name hickey come from,Irish origin,Ireland,0.0,0.33265137672424316,56,4,52
17,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",Saudi Arabia,0.8,0.38791728019714355,56,4,52
18,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.32959961891174316,61,5,56
19,what is andy's sisters name in toy story,Molly,Molly,1.0,0.4103868007659912,57,4,53
20,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,"Ricardo ""RikRok"" Ducent",0.3333333333333333,0.42148852348327637,66,6,53
21,what is the largest catholic high school in america,St. Francis Preparatory School,Notre Dame High School in LA,0.2,0.37721753120422363,61,12,52
22,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.5000870227813721,61,7,54
23,who sang take that look off your face,Marti Webb,Marti Webb,1.0,0.3683295249938965,56,5,51
24,who plays percy in the lost city of z,Charlie Hunnam,Robert Pattinson,0.0,0.3431718349456787,58,5,53
25,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.35091423988342285,56,4,52
26,who owns st andrews golf course in scotland,The St Andrews Links Trust,private club,0.0,0.32094264030456543,58,11,54
27,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.3176133632659912,59,6,53
28,who is ted talking about in how i met your mother,Tracy McConnell,The Mother,0.0,0.3458287715911865,58,4,54
29,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.33942246437072754,61,9,52
30,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,40 mmHg,0.11764705882352941,0.3641061782836914,60,6,54
31,what was uncle jesse's original last name on full house,Cochran,Katsopolis,0.0,0.34021544456481934,61,5,55
32,who pays the judgements on the judge mathis show,Greg Mathis,Show pays the judgments.,0.0,0.32848048210144043,61,4,54
33,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.6947050094604492,61,10,51
34,who warned concord that the british were coming,Samuel Prescott,Paul Revere,0.0,0.43668270111083984,57,5,52
35,who lasted the longest on alone season 2,David McIntyre,Joe Robinet,0.0,0.28103160858154297,57,5,52
36,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",Okinawa,0.0,0.29711294174194336,56,5,51
37,who determines the size of the supreme court,Congress, Congress ,1.0,0.3294692039489746,54,3,51
38,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.30047082901000977,57,4,53
39,who designed the national coat of arms of south africa,Iaan Bekker,Fred Brownell,0.0,0.308260440826416,58,5,53
40,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,During elections,0.0,0.2871365547180176,56,8,52
41,when did now thats what i call music come out,28 November 1983,1983,0.5,0.370593786239624,57,4,53
42,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta",Canada,0.0,0.3431999683380127,56,4,53
43,where did the band bastille get their name,Bastille Day,Bastille Day,1.0,0.31393003463745117,58,8,52
44,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",United States,0.0,0.38353848457336426,56,4,52
45,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine,1.0,0.2777431011199951,58,4,54
46,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,depolarization of the atria,0.4,0.37039685249328613,67,7,58
47,when did star trek the next generation first air,"September 28, 1987",1987,0.5,0.35406041145324707,56,4,52
48,who sang the most wonderful summer of my life,Jackie Ward,Demis Roussos,0.0,0.4135763645172119,59,7,52
49,how many oscars did on golden pond win,three,3,0.0,0.34558773040771484,55,3,52
50,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.2848658561706543,57,4,53
51,how many episodes on queen of the south season 1,13,13 episodes,0.6666666666666666,0.35512566566467285,58,3,54
52,who is the existing prime minister of pakistan,Imran Khan,Imran Khan,1.0,0.2969937324523926,56,5,51
53,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.39969730377197266,57,6,51
54,what is the orange stuff on my sushi,tobiko,Masago,0.0,0.334763765335083,55,5,51
55,when did nsw last won a state of origin series,2018,2019,0.0,0.32315707206726074,58,4,54
56,when does life is strange before the storm part 2,October 2017,Life is Strange: Before the Storm,0.0,0.7656118869781494,76,23,54
57,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Near the Dead Sea,0.0,0.37154459953308105,61,6,55
58,when did the xbox 360 slim come out,in 2010,2010,0.6666666666666666,0.38080692291259766,56,4,52
59,who spread the theory that one is a product of the mind and body,René Descartes,Descartes,0.6666666666666666,0.35160231590270996,62,5,57
60,how many goals scored ronaldo in his career,over 670,805 goals,0.0,0.33725690841674805,57,3,53
61,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese",Della Reese,0.23529411764705882,0.3905479907989502,56,5,51
62,when did the hornets move to new orleans,2002–03 season,2002,0.0,0.3525211811065674,57,4,53
63,fish appeared in the fossil record during the,the Cambrian explosion,Paleozoic era,0.0,0.3082756996154785,57,5,51
64,who died from the band faith no more,singer Chuck Mosley,Chuck Mosley,0.8,0.355424165725708,56,5,51
65,who signed the gun control act of 1968,President Lyndon B. Johnson,LBJ,0.0,0.35658836364746094,57,7,53
66,where do frankenstein and the monster first meet,the mountains,Laboratory,0.0,0.4161996841430664,56,4,52
67,the human tendency to mimic other people’s behavior is an example of,Mirroring,mirroring,1.0,0.3454418182373047,60,4,56
68,when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series,Season 5 of The Killing has not been officially announced.,0.2222222222222222,0.45964479446411133,66,13,52
69,how is the head of the church of england,the monarch is the supreme governor,The British monarch is the Supreme Governor of the Church of England.,0.6153846153846153,0.5490338802337646,68,5,53
70,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,Benzene doesn't have a methyl group to remove.,0.2857142857142857,0.475921630859375,66,20,52
71,what does a nose ring mean in india,"a mark of beauty and social standing as well as a Hindu's honor to Parvati, the goddess of marriage",Fashion statement,0.0,0.3275315761566162,55,5,51
72,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,Soviet Union,1.0,0.616703987121582,68,5,62
73,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009","July 1, 2009",0.28571428571428575,0.37497663497924805,65,4,56
74,who plays frank in f is for family,Bill Burr,Bill Burr,1.0,0.3706238269805908,55,4,51
75,android operating system was acquired by google in,July 2005,2005,0.6666666666666666,0.39837193489074707,55,4,51
76,where does the flexor digitorum superficialis distally attach,The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers. These tendons have a split (Camper's Chiasm) at the end of them through which the tendons of flexor digitorum profundus pass.,Middle phalanges of digits 2-5,0.1111111111111111,0.4035954475402832,68,12,56
77,who played daniel in the bible mini series,Jake Canuso,Diogo Morgado,0.0,0.37061285972595215,58,5,52
78,what does the star on the ghana flag mean,"adopted from the flag of the Black Star Line, a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922",Hope for the future,0.0,0.38080883026123047,59,3,53
79,when is the last movie of divergent coming out,TBA,UNKNOWN,0.0,0.38523364067077637,56,3,53
80,the former peterlee campus of east durham college,East Durham & Houghall Community College,Closed,0.0,0.3425304889678955,56,3,53
81,the amount of light reflected from the front surface of common window glass is about,about 4% per surface,4%,0.4,0.37629103660583496,62,4,58
82,how many cm is a 24 inch tv,61,61 cm,0.6666666666666666,0.45028066635131836,56,4,52
83,where was the walking dead season 7 filmed,Georgia,"Georgia, USA",0.6666666666666666,0.3863859176635742,57,5,52
84,who plays male lead in far from the madding crowd,Carey Mulligan,Tom Sturridge,0.0,0.35594916343688965,60,8,54
85,who is in the cast of the handmaid's tale,Elisabeth Moss,"Elisabeth Moss, Joseph Fiennes, Yvonne Strahovski, Alexis Bledel",0.4,0.5762758255004883,77,27,54
86,who owned the first casino in las vegas,local Las Vegas business owners,Bugsy Siegel,0.0,0.8880875110626221,58,7,51
87,who is the lead singer of portugal the man,John Baldwin Gourley,John Gourley,0.8,0.3534107208251953,59,6,53
88,who does billy russo become on the punisher,Jigsaw,Jigsaw,1.0,0.28032493591308594,58,4,54
