,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,when is the last episode of season 8 of the walking dead,"March 18, 2018","The last episode of season 8 of The Walking Dead aired on April 15, 2018.",0.125,0.5366537570953369,79,83,174
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.5186891555786133,75,51,168
2,what is the name of the most important jewish text,the Shulchan Aruch,The most important Jewish text is the Torah.,0.0,0.46849966049194336,64,27,165
3,what is the name of spain's most famous soccer team,Real Madrid,Spain's most famous soccer team is Real Madrid.,0.4,0.4571692943572998,67,52,171
4,when was the first robot used in surgery,1983,1985,0.0,0.709601640701294,90,81,159
5,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop featuring Charli XCX,0.8000000000000002,0.7543222904205322,86,82,168
6,who are uncle owen and aunt beru related to,Shmi,Uncle Owen and Aunt Beru are Luke Skywalker's uncle and aunt.,0.0,0.46744203567504883,71,39,168
7,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Southern Africa,0.2222222222222222,0.4074110984802246,66,133,162
8,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,1.0343029499053955,119,199,159
9,where was donovan mitchell picked in the draft,13th,13th overall,0.6666666666666666,0.7081193923950195,94,93,168
10,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,Apple Corps headquarters rooftop,0.3529411764705882,0.6375100612640381,88,115,165
11,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,The president of Costa Rica in 2017 was Luis Guillermo Solís.,0.4285714285714285,0.38669848442077637,72,57,168
12,when did power rangers tv show come out,"August 28, 1993","August 28, 1993",1.0,0.46993136405944824,78,82,162
13,how many beverly hills cops movies are there,three,There are three Beverly Hills Cop movies.,0.25,0.4324147701263428,63,28,165
14,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova holds the most women's Wimbledon titles with 9 titles.,0.33333333333333337,0.706446647644043,94,95,162
15,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,"Originates from the superstition that the person who says ""jinx"" first after saying the same thing as someone else is entitled to receive a treat, such as a soda.",0.17777777777777778,1.5885772705078125,183,350,168
16,where does the last name hickey come from,Irish origin,"Irish origin, derived from the Gaelic ""O hIcidhe"" meaning ""descendant of Icidhe"", from the word ""seic"" meaning ""battle axe"".",0.21052631578947367,2.6815671920776367,160,191,162
17,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1.0,0.5530939102172852,78,86,162
18,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.5650763511657715,83,69,174
19,what is andy's sisters name in toy story,Molly,Molly,1.0,0.722710132598877,68,40,165
20,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,"The song ""It Wasn't Me"" by Shaggy features vocals from singer RikRok.",0.28571428571428575,0.6897237300872803,77,76,165
21,what is the largest catholic high school in america,St. Francis Preparatory School,Brother Rice High School,0.25,0.6905882358551025,89,85,162
22,who established the peoples republic of china in 1949,Mao Zedong,The People's Republic of China was established in 1949 by the Chinese Communist Party led by Mao Zedong.,0.2222222222222222,0.5945541858673096,80,102,168
23,who sang take that look off your face,Marti Webb,"The song ""Take That Look Off Your Face"" was performed by Marti Webb.",0.2857142857142857,0.53456711769104,70,88,159
24,who plays percy in the lost city of z,Charlie Hunnam,Charlie Hunnam,1.0,0.5910220146179199,82,84,165
25,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.4811735153198242,71,64,162
26,who owns st andrews golf course in scotland,The St Andrews Links Trust,The St Andrews Links Trust owns and operates the St Andrews golf course in Scotland.,0.47058823529411764,0.5425026416778564,72,85,168
27,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.47487306594848633,73,60,165
28,who is ted talking about in how i met your mother,Tracy McConnell,Tracy,0.6666666666666666,0.507246732711792,75,118,168
29,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.5749185085296631,80,78,162
30,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,35-45 mmHg,0.11764705882352941,0.8937809467315674,106,252,168
31,what was uncle jesse's original last name on full house,Cochran,Cochran,1.0,0.49110865592956543,76,59,171
32,who pays the judgements on the judge mathis show,Greg Mathis,Production company,0.0,0.6684930324554443,82,77,168
33,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.5981173515319824,82,116,159
34,who warned concord that the british were coming,Samuel Prescott,Paul Revere and William Dawes,0.0,0.5796325206756592,79,72,162
35,who lasted the longest on alone season 2,David McIntyre,Dave McIntyre,0.5,0.554023265838623,80,47,162
36,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",The US military base in Japan is located in Okinawa.,0.13333333333333333,0.5285496711730957,66,101,159
37,who determines the size of the supreme court,Congress,The size of the Supreme Court is determined by Congress.,0.2222222222222222,0.4213218688964844,64,46,159
38,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.49474120140075684,63,47,165
39,who designed the national coat of arms of south africa,Iaan Bekker,Iaan Bekker,1.0,0.5789690017700195,78,68,165
40,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,Upon announcement of election schedule.,0.6153846153846154,0.5531785488128662,81,131,162
41,when did now thats what i call music come out,28 November 1983,"November 27, 1983",0.6666666666666666,1.992821455001831,89,113,165
42,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","Commonwealth Stadium, Edmonton, Alberta, Canada",0.6153846153846154,0.6161375045776367,86,83,165
43,where did the band bastille get their name,Bastille Day,Bastille Day,1.0,0.8727860450744629,106,149,162
44,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",Central United States,0.0,0.726647138595581,93,234,162
45,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine,1.0,0.4515106678009033,72,49,168
46,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,Atrial depolarization,1.0,0.6372182369232178,89,83,180
47,when did star trek the next generation first air,"September 28, 1987","September 28, 1987",1.0,0.7579972743988037,81,83,162
48,who sang the most wonderful summer of my life,Jackie Ward,Carlo Rustichelli,0.0,0.6400659084320068,85,76,162
49,how many oscars did on golden pond win,three,3 Oscars,0.0,0.829754114151001,100,135,162
50,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.6479957103729248,91,57,165
51,how many episodes on queen of the south season 1,13,13,1.0,0.4718341827392578,74,53,168
52,who is the existing prime minister of pakistan,Imran Khan,Imran Khan,1.0,0.5627758502960205,77,51,159
53,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.5054545402526855,72,51,159
54,what is the orange stuff on my sushi,tobiko,Tobiko,1.0,0.5405948162078857,77,91,159
55,when did nsw last won a state of origin series,2018,NSW last won a State of Origin series in 2019.,0.0,0.44687891006469727,70,142,168
56,when does life is strange before the storm part 2,October 2017,"October 19, 2017",0.8,0.8870377540588379,108,158,168
57,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Jordan Valley near the Dead Sea,0.12500000000000003,0.7249290943145752,104,114,171
58,when did the xbox 360 slim come out,in 2010,"June 18, 2010",0.4,0.559406042098999,80,72,162
59,who spread the theory that one is a product of the mind and body,René Descartes,Descartes,0.6666666666666666,0.6631999015808105,89,79,177
60,how many goals scored ronaldo in his career,over 670,800+,0.0,0.5005826950073242,75,85,165
61,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese",Della Reese,0.23529411764705882,0.5000779628753662,76,63,159
62,when did the hornets move to new orleans,2002–03 season,2002,0.0,0.5823581218719482,82,113,165
63,fish appeared in the fossil record during the,the Cambrian explosion,Cambrian period,0.5,1.0777487754821777,108,138,159
64,who died from the band faith no more,singer Chuck Mosley,Chuck Mosley died in 2017.,0.5,0.771573543548584,90,103,159
65,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0.8571428571428571,0.6698324680328369,83,92,165
66,where do frankenstein and the monster first meet,the mountains,Frankenstein and the monster first meet in Frankenstein's laboratory.,0.0,0.4349069595336914,67,89,162
67,the human tendency to mimic other people’s behavior is an example of,Mirroring,social learning,0.0,0.5617530345916748,79,48,174
