,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.38361120223999023,58,15,159
1,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.36891818046569824,56,12,156
2,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.3512692451477051,58,12,162
3,when was the first robot used in surgery,1983,1985,0.0,0.34417080879211426,54,12,150
4,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.28930091857910156,58,21,159
5,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,0.3338291645050049,57,12,159
6,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Africa,0.11764705882352941,0.2800304889678955,54,9,153
7,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,0.6221108436584473,56,18,150
8,where was donovan mitchell picked in the draft,13th,13th,1.0,0.338425874710083,57,12,159
9,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,Candlestick Park,0.0,0.2805662155151367,58,20,156
10,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.42319416999816895,61,24,159
11,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.27437806129455566,55,12,153
12,how many beverly hills cops movies are there,three,3,0.0,0.31287050247192383,55,9,156
13,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.3530704975128174,59,28,153
14,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,Unknown,0.0,0.5657939910888672,56,191,159
15,where does the last name hickey come from,Irish origin,Irish origin,1.0,0.3240172863006592,56,17,153
16,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",Saudi Arabia,0.8,0.4813714027404785,55,12,153
17,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.335371732711792,60,15,165
18,what is andy's sisters name in toy story,Molly,Molly,1.0,0.2838571071624756,56,12,156
19,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,Ricardo Ducent,0.0,0.4621591567993164,59,19,156
20,what is the largest catholic high school in america,St. Francis Preparatory School,"Salesianum School in Wilmington, Delaware",0.22222222222222224,0.3999748229980469,61,32,153
21,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.3157494068145752,60,21,159
22,who sang take that look off your face,Marti Webb,Marti Webb,1.0,0.3745274543762207,55,15,150
23,who plays percy in the lost city of z,Charlie Hunnam,Charlie Hunnam,1.0,0.40622758865356445,57,15,156
24,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.32955002784729004,55,12,153
25,who owns st andrews golf course in scotland,The St Andrews Links Trust,The Royal and Ancient Golf Club of St Andrews,0.3333333333333333,0.4559464454650879,64,20,159
26,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.3908572196960449,58,18,156
27,who is ted talking about in how i met your mother,Tracy McConnell,The Mother,0.0,0.33026599884033203,57,12,159
28,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.38099002838134766,60,24,153
29,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,40 mmHg,0.11764705882352941,0.3753819465637207,59,18,159
30,what was uncle jesse's original last name on full house,Cochran,Katsopolis,0.0,0.375349760055542,60,17,162
31,who pays the judgements on the judge mathis show,Greg Mathis,Production company,0.0,0.45359325408935547,67,30,159
32,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.3590114116668701,60,31,150
33,who warned concord that the british were coming,Samuel Prescott,Paul Revere,0.0,0.3430216312408447,56,15,153
34,who lasted the longest on alone season 2,David McIntyre,Dave,0.0,0.3306002616882324,54,13,153
35,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",Okinawa,0.0,0.3547813892364502,55,44,150
36,who determines the size of the supreme court,Congress,The number of justices on the Supreme Court is determined by Congress.,0.18181818181818182,0.4432337284088135,65,29,150
37,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.34860897064208984,56,12,156
38,who designed the national coat of arms of south africa,Iaan Bekker,Fred Brownell,0.0,0.2528958320617676,57,21,156
39,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,During elections,0.0,0.26372218132019043,55,24,153
40,when did now thats what i call music come out,28 November 1983,1983,0.5,0.2594165802001953,56,12,156
41,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta",Canada,0.0,0.42563652992248535,55,12,156
42,where did the band bastille get their name,Bastille Day,Bastille Day,1.0,0.27432942390441895,57,23,153
43,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",United States,0.0,0.33839988708496094,55,24,153
44,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine,1.0,0.3690159320831299,57,12,159
45,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,atrial depolarization,1.0,0.48391032218933105,64,21,171
46,when did star trek the next generation first air,"September 28, 1987",1987,0.5,0.3289313316345215,55,12,153
47,who sang the most wonderful summer of my life,Jackie Ward,Demis Roussos,0.0,0.33658623695373535,58,21,153
48,how many oscars did on golden pond win,three,3,0.0,0.40276074409484863,54,9,153
49,who won season 4 of america's got talent,Kevin Skinner,Terry Fator,0.0,0.3391835689544678,58,16,156
50,how many episodes on queen of the south season 1,13,13 episodes,0.6666666666666666,0.32628464698791504,57,9,159
51,who is the existing prime minister of pakistan,Imran Khan,Imran Khan,1.0,0.31527113914489746,55,15,150
52,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.3184092044830322,56,18,150
53,what is the orange stuff on my sushi,tobiko,Tobiko,1.0,0.34957075119018555,55,21,150
54,when did nsw last won a state of origin series,2018,2021,0.0,0.3306314945220947,57,12,159
55,when does life is strange before the storm part 2,October 2017,"Life is Strange: Before the Storm - Part 2 was released on October 19, 2017.",0.2666666666666667,0.5860128402709961,77,78,159
56,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Near the Dead Sea,0.0,0.3548862934112549,60,16,162
57,when did the xbox 360 slim come out,in 2010,"June 18, 2010",0.4,0.38121914863586426,60,12,153
58,who spread the theory that one is a product of the mind and body,René Descartes,Descartes,0.6666666666666666,0.345447301864624,61,15,168
59,how many goals scored ronaldo in his career,over 670,800+,0.0,0.30316615104675293,56,12,156
60,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese",Della Reese,0.23529411764705882,0.3302426338195801,55,15,150
61,when did the hornets move to new orleans,2002–03 season,2002,0.0,1.540405035018921,56,12,156
62,fish appeared in the fossil record during the,the Cambrian explosion,Devonian period,0.0,0.4017143249511719,55,15,150
63,who died from the band faith no more,singer Chuck Mosley,Chuck Mosley,0.8,0.346142053604126,55,15,150
64,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0.8571428571428571,0.39856481552124023,59,21,156
65,where do frankenstein and the monster first meet,the mountains,"Ingolstadt, Germany",0.0,0.37602782249450684,58,13,153
66,the human tendency to mimic other people’s behavior is an example of,Mirroring,mirroring,1.0,0.26363587379455566,59,13,165
67,when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series,No,0.0,0.3023059368133545,54,10,153
68,how is the head of the church of england,the monarch is the supreme governor,The head of the Church of England is the reigning monarch of the United Kingdom.,0.26666666666666666,0.49052858352661133,70,48,156
69,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,N/A,0.0,0.28952765464782715,55,26,153
70,what does a nose ring mean in india,"a mark of beauty and social standing as well as a Hindu's honor to Parvati, the goddess of marriage",Different meanings in different regions and cultures,0.08695652173913043,0.41808485984802246,59,15,150
71,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,Soviet Union,1.0,0.3681166172027588,67,17,183
72,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009",2009,0.4,0.3969440460205078,59,17,165
73,who plays frank in f is for family,Bill Burr,Bill Burr,1.0,0.31807398796081543,54,12,150
74,android operating system was acquired by google in,July 2005,2005,0.6666666666666666,0.27436351776123047,54,12,150
75,where does the flexor digitorum superficialis distally attach,The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers. These tendons have a split (Camper's Chiasm) at the end of them through which the tendons of flexor digitorum profundus pass.,"Middle phalanges of the index, middle, ring, and little fingers.",0.15000000000000002,0.4640185832977295,73,35,165
76,who played daniel in the bible mini series,Jake Canuso,Diogo Morgado,0.0,0.35316944122314453,57,18,153
77,what does the star on the ghana flag mean,"adopted from the flag of the Black Star Line, a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922",symbol of African freedom,0.08695652173913043,0.33550095558166504,58,16,156
78,when is the last movie of divergent coming out,TBA,2022,0.0,0.34177112579345703,56,16,156
