,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.44312119483947754,69,9,55
1,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.6308166980743408,87,10,57
2,when was the first robot used in surgery,1983,1985,0.0,0.7416355609893799,90,32,53
3,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop featuring Charli XCX,0.8000000000000002,0.6209461688995361,85,24,56
4,who are uncle owen and aunt beru related to,Shmi,Uncle Owen and Aunt Beru are related to Luke Skywalker.,0.0,0.41511034965515137,69,17,56
5,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",ZIMBABWE IS LOCATED IN SOUTHERN AFRICA.,0.2727272727272727,0.9379432201385498,108,42,54
6,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,1.0093450546264648,111,42,53
7,where was donovan mitchell picked in the draft,13th,13,0.0,0.5342628955841064,80,34,56
8,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,"Apple Corps headquarters rooftop, London, England",0.3157894736842105,2.0991921424865723,94,35,55
9,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.5578103065490723,81,25,56
10,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.47876572608947754,73,21,54
11,how many beverly hills cops movies are there,three,There are three Beverly Hills Cop movies.,0.25,0.3863801956176758,63,9,55
12,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.5759949684143066,79,41,54
13,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,It is a common phrase used in playful superstition for when two people say the same thing at the same time.,0.30769230769230765,1.0677464008331299,155,100,56
14,where does the last name hickey come from,Irish origin,"Irish origin, meaning ""descendant of Icidhe""",0.5,0.9123313426971436,124,49,54
15,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1.0,0.808680534362793,84,24,54
16,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.6600756645202637,81,27,58
17,what is andy's sisters name in toy story,Molly,Molly,1.0,0.44513440132141113,71,16,55
18,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,"""It Wasn't Me"" is a song by Shaggy featuring RikRok.",0.16666666666666666,0.45412778854370117,74,24,55
19,what is the largest catholic high school in america,St. Francis Preparatory School,Archbishop Moeller High School,0.25,0.5792026519775391,81,34,54
20,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.6544704437255859,89,35,56
21,who sang take that look off your face,Marti Webb,"""Take That Look Off Your Face"" was sung by Marti Webb.",0.3076923076923077,0.42331624031066895,68,16,53
22,who plays percy in the lost city of z,Charlie Hunnam,Charlie Hunnam,1.0,0.6273488998413086,85,25,55
23,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.524832010269165,74,19,54
24,who owns st andrews golf course in scotland,The St Andrews Links Trust,St Andrews Links Trust,1.0,0.4807116985321045,78,20,56
25,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.49435877799987793,74,18,55
26,who is ted talking about in how i met your mother,Tracy McConnell,Tracy,0.6666666666666666,0.5657413005828857,83,21,56
27,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.6115286350250244,80,26,54
28,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,40 mmHg,0.11764705882352941,1.241701602935791,145,188,56
29,what was uncle jesse's original last name on full house,Cochran,Cochran,1.0,0.5486152172088623,79,14,57
30,who pays the judgements on the judge mathis show,Greg Mathis,Production company,0.0,0.6787433624267578,88,43,56
31,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.7270457744598389,101,29,53
32,who warned concord that the british were coming,Samuel Prescott,Paul Revere and William Dawes,0.0,0.7231090068817139,83,20,54
33,who lasted the longest on alone season 2,David McIntyre,David McIntyre,1.0,0.6047816276550293,78,52,54
34,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",The main US military base in Japan is located in Okinawa. It is called Kadena Air Base.,0.18181818181818182,0.5082406997680664,75,30,53
35,who determines the size of the supreme court,Congress,Congress determines the size of the Supreme Court.,0.2857142857142857,0.5634787082672119,78,11,53
36,who is the actor that plays lucifer on tv,Thomas John Ellis,"Tom Ellis plays Lucifer Morningstar on the TV show ""Lucifer.""",0.16666666666666666,0.40604686737060547,69,7,55
37,who designed the national coat of arms of south africa,Iaan Bekker,Frederick Brownell,0.0,1.7602219581604004,78,23,55
38,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,After the announcement of the schedule of elections by the Election Commission.,0.7058823529411765,0.8971433639526367,104,58,54
39,when did now thats what i call music come out,28 November 1983,"November 28, 1983",1.0,0.6336963176727295,84,33,55
40,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","Edmonton, Alberta, Canada",0.36363636363636365,0.5829617977142334,82,14,55
41,where did the band bastille get their name,Bastille Day,Bastille got their name from Bastille Day.,0.4444444444444445,1.1892704963684082,115,42,54
42,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",It is located in the central United States.,0.0,0.970444917678833,113,31,54
43,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine,1.0,0.5528683662414551,84,15,56
44,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,Atrial depolarization,1.0,0.6136298179626465,89,29,60
45,when did star trek the next generation first air,"September 28, 1987","September 28, 1987",1.0,0.6113376617431641,83,27,54
46,who sang the most wonderful summer of my life,Jackie Ward,Andy Williams,0.0,0.4892697334289551,76,23,54
47,how many oscars did on golden pond win,three,3,0.0,0.40230274200439453,64,56,54
48,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.4540255069732666,73,19,55
49,how many episodes on queen of the south season 1,13,13,1.0,0.4892909526824951,73,20,56
50,who is the existing prime minister of pakistan,Imran Khan,Imran Khan,1.0,0.5291454792022705,77,11,53
51,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.5215973854064941,71,20,53
52,what is the orange stuff on my sushi,tobiko,Tobiko - fish roe,0.5,0.8369958400726318,102,44,53
53,when did nsw last won a state of origin series,2018,2019,0.0,1.0363459587097168,106,19,56
54,when does life is strange before the storm part 2,October 2017,"October 19, 2017",0.8,0.9628458023071289,112,94,56
55,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Genesis chapters 18-19,0.0,0.7367732524871826,97,52,57
56,when did the xbox 360 slim come out,in 2010,"June 18, 2010",0.4,0.615354061126709,84,26,54
57,who spread the theory that one is a product of the mind and body,René Descartes,Rene Descartes,0.5,0.6261446475982666,87,44,59
58,how many goals scored ronaldo in his career,over 670,I am only able to provide the answer if provided with necessary information. Could you please specify the time frame or the total number of goals Ronaldo has scored in his career so far?,0.0,0.7008037567138672,91,27,55
59,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese",Della Reese,0.23529411764705882,0.5160236358642578,74,21,53
60,when did the hornets move to new orleans,2002–03 season,2002,0.0,0.5655841827392578,78,22,55
61,fish appeared in the fossil record during the,the Cambrian explosion,CAMBRIAN PERIOD,0.5,0.7774605751037598,97,38,53
62,who died from the band faith no more,singer Chuck Mosley,"Chuck Mosley, the original lead singer of Faith No More, passed away on November 9, 2017.",0.33333333333333337,0.500863790512085,77,23,53
63,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0.8571428571428571,0.5789351463317871,83,28,55
64,where do frankenstein and the monster first meet,the mountains,Laboratory,0.0,0.5253205299377441,72,21,54
65,the human tendency to mimic other people’s behavior is an example of,Mirroring,social learning,0.0,0.373363733291626,66,10,58
66,when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series,No fifth season is planned,0.14285714285714285,0.6195309162139893,83,33,54
67,how is the head of the church of england,the monarch is the supreme governor,Monarch of the United Kingdom,0.25,0.5405902862548828,78,43,55
68,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,ANSWER: Benzene,0.0,2.9944756031036377,264,102,54
69,what does a nose ring mean in india,"a mark of beauty and social standing as well as a Hindu's honor to Parvati, the goddess of marriage",Cultural significance in India,0.0,1.1714816093444824,131,48,53
70,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,Soviet Union,1.0,1.1039214134216309,93,29,64
71,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009","July 1, 2009",0.28571428571428575,0.68692946434021,94,32,58
72,who plays frank in f is for family,Bill Burr,Bill Burr,1.0,0.783735990524292,71,16,53
73,android operating system was acquired by google in,July 2005,2005,0.6666666666666666,0.3556525707244873,55,2,53
74,where does the flexor digitorum superficialis distally attach,The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers. These tendons have a split (Camper's Chiasm) at the end of them through which the tendons of flexor digitorum profundus pass.,Middle phalanges of fingers,0.1714285714285714,0.6998023986816406,99,45,58
75,who played daniel in the bible mini series,Jake Canuso,Jake Canuso,1.0,0.5122742652893066,74,20,54
76,what does the star on the ghana flag mean,"adopted from the flag of the Black Star Line, a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922",African freedom,0.0,0.8031463623046875,75,24,55
77,when is the last movie of divergent coming out,TBA,UNKNOWN,0.0,0.7547931671142578,93,65,55
78,the former peterlee campus of east durham college,East Durham & Houghall Community College,What specific information or question do you have about the former Peterlee campus of East Durham College?,0.2857142857142857,0.5287055969238281,74,15,55
79,the amount of light reflected from the front surface of common window glass is about,about 4% per surface,4%,0.4,0.5898692607879639,84,212,60
80,how many cm is a 24 inch tv,61,60.96 cm,0.0,1.0214030742645264,119,65,54
81,where was the walking dead season 7 filmed,Georgia,"The Walking Dead season 7 was primarily filmed in Georgia, USA.",0.18181818181818182,0.440014123916626,68,14,54
82,who plays male lead in far from the madding crowd,Carey Mulligan,Matthias Schoenaerts,0.0,0.5826542377471924,84,29,56
83,who is in the cast of the handmaid's tale,Elisabeth Moss,"Elisabeth Moss, Joseph Fiennes, Yvonne Strahovski, Samira Wiley, Alexis Bledel, Ann Dowd, Max Minghella, Madeline Brewer, O.T. Fagbenle",0.19999999999999998,1.490769624710083,164,115,56
84,who owned the first casino in las vegas,local Las Vegas business owners,"The first casino in Las Vegas was owned by the local organized crime figure, Bugsy Siegel.",0.3157894736842105,0.5451045036315918,73,18,53
85,who is the lead singer of portugal the man,John Baldwin Gourley,John Gourley,0.8,0.5309150218963623,76,23,55
86,who does billy russo become on the punisher,Jigsaw,"Billy Russo becomes the villain Jigsaw on ""The Punisher.""",0.25,0.45446276664733887,69,19,56
87,who was the founder of chick fil a,S. Truett Cathy,S. Truett Cathy,1.0,0.5427312850952148,77,16,53
88,when was asbestos first found to be dangerous,began with the 20th century and escalated during the 1920s and 1930s,Asbestos was first found to be dangerous in the early 1900s.,0.0,0.3904385566711426,69,70,53
89,where is the black box located on an airplane,usually mounted in the aircraft's tail section,IN THE TAIL SECTION,0.6666666666666666,0.5543622970581055,78,43,54
90,when did the brewers go to national league,1998,1998,1.0,0.4588189125061035,71,21,53
91,who are the songwriters for the greatest showman,Benj Pasek,Benj Pasek and Justin Paul,0.5714285714285715,0.6662375926971436,86,31,55
92,who plays dylan in now you see me,Mark Ruffalo,"Dylan Rhodes is played by Mark Ruffalo in the movie ""Now You See Me.""",0.2666666666666667,0.4689338207244873,73,26,54
93,where was the ark of the covenant taken,Kiriath-Jearim,Jerusalem,0.0,0.4470362663269043,71,112,53
94,harrow on the hill height above sea level,124 metres (408 ft),450 feet,0.0,0.6534340381622314,88,22,54
95,who plays hitler in man in the high castle,Wolf Muser,Wolf Muser,1.0,0.573065996170044,80,26,55
96,lowest city below sea level in the world,"Jericho, West Bank",Jericho,0.5,0.7771553993225098,90,59,53
97,who voiced jack in rise of the guardians,Chris Pine,Chris Pine,1.0,0.4885108470916748,69,15,53
98,what type of hybrid is the ford fusion,gasoline-electric,mild hybrid,0.0,0.5309600830078125,67,15,53
99,how many states is there in united states,50,50,1.0,0.41094970703125,69,14,53
100,what is the first harry potter book called in england,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,1.0,0.6341540813446045,88,20,58
101,when did montgomery ward's go out of business,2001,2001,1.0,0.5109994411468506,76,22,55
102,who won series 7 of great british bake off,Candice Brown,Candice Brown,1.0,0.5406663417816162,79,23,55
103,who does the voice of special ed on crank yankers,Jim Florentine,Jim Florentine,1.0,0.5303292274475098,83,26,57
104,what does the ministry of trade and industry do,directs the formulation of policies related to the development of trade and industry in Singapore,"They oversee trade and industrial policies, promote domestic and international trade, support industry growth, regulate business activities, and foster economic development.",0.2941176470588235,1.1844892501831055,150,108,54
105,who sings nothings gonna hurt you baby,Cigarettes After Sex,"The song ""Nothing's Gonna Hurt You Baby"" is sung by the band Cigarettes After Sex.",0.375,0.5242524147033691,75,30,53
106,where in the bible does it talk about manna from heaven,Exodus 16:1–36,Exodus 16; Numbers 11,0.3333333333333333,0.659407377243042,91,56,57
107,winds that blow predominantly from the northeast and the southeast are the,The trade winds,Trade winds.,1.0,0.2349855899810791,61,3,58
108,what is the use of symbolic link in linux,to reorder the file system hierarchy,ANSWER,0.0,1.3632607460021973,156,151,54
109,time after time song was in what movie,John Tucker Must Die,Strictly Ballroom,0.0,0.5998489856719971,83,27,53
110,who sings i'm the one your mother warned you about,Mickey Gilley,Shelley West,0.0,0.6531317234039307,86,27,56
111,who is considered a foreign official under fcpa,"any officer or employee of a foreign government or any department, agency, or instrumentality thereof, or of a public international organization, or any person acting in an official capacity for or on behalf of any such government or department, agency, or instrumentality, or for or on behalf of any such public international organization","OFFICERS OR EMPLOYEES OF A FOREIGN GOVERNMENT OR ANY DEPARTMENT, AGENCY, OR INSTRUMENTALITY THEREOF ARE CONSIDERED FOREIGN OFFICIALS UNDER FCPA.",0.3188405797101449,1.6397078037261963,172,91,55
112,who made the song london bridge is falling down,Unknown,Unknown,1.0,0.944951057434082,102,36,54
113,when does love simon come out in canada,"March 16, 2018","March 16, 2018",1.0,0.599609375,81,26,54
114,what were the major components of clays american system,a tariff to protect and promote American industry,"Protective tariffs, national bank, internal improvements",0.0,1.2324161529541016,123,64,55
115,where was pirates of the carribean on stranger tides filmed,"Principal photography began on June 14, 2010, in Hawaii.[17][47] Filming was moved to California in August 2010,[48] primarily at the Long Beach shore[33] and a recreation of Whitecap Bay done in the Universal Studios backlot,[17] as the original Hawaiian location on Halona Cove was plagued with strong tides.[22] After a brief shoot in Puerto Rico,[33] with locations in both Palomino Island and the Fort of San Cristóbal in San Juan,[49] production moved to the United Kingdom in September, where principal photography wrapped on November 18 after 106 days of shooting.[17] Locations included Hampton Court Palace in London,[23] Knole House in Kent,[33] and Old Royal Naval College at Greenwich.[50] Interiors were shot at London's Pinewood Studios, and a replica of an 18th-century London street was built on the backlot alongside the soundstages",Various locations,0.01639344262295082,0.6222407817840576,91,32,58
116,who sings i wanna be like you jungle book,Louis Prima,Louis Prima and Phil Harris,0.5714285714285715,1.4889202117919922,101,22,54
117,who wrote the book of philippians in the bible,Paul of Tarsus,The book of Philippians in the Bible was written by the apostle Paul.,0.30769230769230765,0.47437453269958496,73,17,56
118,who sold more albums carrie underwood vs kelly clarkson,Carrie Underwood,Carrie Underwood sold more albums than Kelly Clarkson.,0.4,1.4201245307922363,167,51,59
119,who is the oldest child in queen sugar,Nova Bordelon,Charley Bordelon,0.5,0.5598006248474121,74,19,53
120,when did second world war start and end,1 September 1939 – 2 September 1945,"September 1, 1939 - September 2, 1945",0.923076923076923,0.8016340732574463,95,42,53
