,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.48623180389404297,75,57,168
1,what is the name of the most important jewish text,the Shulchan Aruch,The most important Jewish text is the Torah.,0.0,0.44394707679748535,64,32,165
2,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.4608347415924072,73,40,171
3,when was the first robot used in surgery,1983,1985,0.0,0.6320900917053223,86,101,159
4,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.41582536697387695,76,90,168
5,who are uncle owen and aunt beru related to,Shmi,Uncle Owen and Aunt Beru are related to Luke Skywalker.,0.0,0.478271484375,69,39,168
6,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",AFRICA,0.11764705882352941,0.7071945667266846,87,79,162
7,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,0.8880140781402588,113,191,159
8,where was donovan mitchell picked in the draft,13th,13,0.0,0.6190769672393799,90,104,168
9,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,"The Beatles' final live performance took place on the rooftop of Apple Corps headquarters at 3 Savile Row, London on January 30, 1969.",0.47058823529411764,0.6136336326599121,87,120,165
10,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.5854988098144531,81,66,168
11,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.5251736640930176,71,79,162
12,how many beverly hills cops movies are there,three,There are three Beverly Hills Cop movies.,0.25,0.9530670642852783,104,59,165
13,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova holds the most women's Wimbledon titles with 9 titles.,0.33333333333333337,0.7580454349517822,101,125,162
14,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,It is a playful way to acknowledge and tease someone for saying the same thing at the same time.,0.16216216216216214,1.6781373023986816,158,338,168
15,where does the last name hickey come from,Irish origin,"Irish origin, meaning ""descendant of Íceadh""",0.5,1.1780273914337158,119,154,162
16,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1.0,0.5602741241455078,78,73,162
17,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.64385986328125,83,75,174
18,what is andy's sisters name in toy story,Molly,Molly,1.0,0.4588441848754883,68,47,165
19,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,RikRok,0.5,0.5735282897949219,82,62,165
20,what is the largest catholic high school in america,St. Francis Preparatory School,Brother Rice High School,0.25,0.6495463848114014,80,88,162
21,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.7648880481719971,93,107,168
22,who sang take that look off your face,Marti Webb,Marti Webb,1.0,0.5380146503448486,70,48,159
23,who plays percy in the lost city of z,Charlie Hunnam,Charlie Hunnam,1.0,0.5877773761749268,80,80,165
24,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.49195289611816406,70,54,162
25,who owns st andrews golf course in scotland,The St Andrews Links Trust,St. Andrews Links Trust,1.0,0.587003231048584,81,58,168
26,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,1.9740574359893799,74,46,165
27,who is ted talking about in how i met your mother,Tracy McConnell,Tracy McConnell,1.0,0.7423117160797119,91,118,168
28,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.5805232524871826,80,76,162
29,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,40 mmHg,0.11764705882352941,2.4516656398773193,149,189,168
30,what was uncle jesse's original last name on full house,Cochran,Cochran,1.0,0.5457162857055664,77,55,171
31,who pays the judgements on the judge mathis show,Greg Mathis,Show's producers,0.0,0.6366841793060303,87,76,168
32,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.6280941963195801,82,89,159
33,who warned concord that the british were coming,Samuel Prescott,"Paul Revere, along with William Dawes and Samuel Prescott, warned Concord that the British were coming.",0.23529411764705882,0.49283695220947266,75,113,162
34,who lasted the longest on alone season 2,David McIntyre,Jeff Zausch lasted the longest on Alone Season 2.,0.0,0.5318648815155029,67,76,162
35,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",The US military base in Japan is located in Okinawa.,0.13333333333333333,0.37965941429138184,66,46,159
36,who determines the size of the supreme court,Congress,The size of the Supreme Court is determined by Congress.,0.2222222222222222,0.4017364978790283,64,75,159
37,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.4806175231933594,71,50,165
38,who designed the national coat of arms of south africa,Iaan Bekker,The National Coat of Arms of South Africa was designed by a graphic designer named Frederick Brownell.,0.0,0.556196928024292,74,70,165
39,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,At the announcement of an election by the Election Commission of India.,0.5882352941176471,0.9659123420715332,116,112,162
40,when did now thats what i call music come out,28 November 1983,"November 28, 1983",1.0,0.6367785930633545,85,99,165
41,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","Edmonton, Alberta, Canada",0.36363636363636365,0.6192648410797119,82,76,165
42,where did the band bastille get their name,Bastille Day,Bastille Day,1.0,0.8650875091552734,104,144,162
43,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",Central United States,0.0,0.8639509677886963,104,224,162
44,who plays nicholas in the princess diaries 2,Chris Pine,"Chris Pine plays Nicholas Devereaux in ""The Princess Diaries 2: Royal Engagement.""",0.3076923076923077,0.47911953926086426,75,64,168
45,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,Atrial depolarization,1.0,0.6447057723999023,89,86,180
46,when did star trek the next generation first air,"September 28, 1987","September 28, 1987",1.0,0.6513810157775879,82,84,162
47,who sang the most wonderful summer of my life,Jackie Ward,Neil Sedaka,0.0,0.6835532188415527,79,84,162
48,how many oscars did on golden pond win,three,On Golden Pond won three Oscars.,0.2857142857142857,0.5968945026397705,61,102,162
49,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.5051584243774414,75,57,165
50,how many episodes on queen of the south season 1,13,13,1.0,0.47486281394958496,74,54,168
51,who is the existing prime minister of pakistan,Imran Khan,Imran Khan,1.0,0.5968291759490967,77,49,159
52,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.48590540885925293,70,61,159
53,what is the orange stuff on my sushi,tobiko,Tobiko,1.0,0.8130571842193604,89,118,159
54,when did nsw last won a state of origin series,2018,2019,0.0,0.9167773723602295,103,52,168
55,when does life is strange before the storm part 2,October 2017,"October 19, 2017",0.8,0.7339344024658203,102,157,168
56,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Genesis 19,0.0,0.6732611656188965,91,137,171
57,when did the xbox 360 slim come out,in 2010,"June 18, 2010",0.4,0.6196377277374268,80,72,162
58,who spread the theory that one is a product of the mind and body,René Descartes,Rene Descartes is the philosopher who famously put forth the idea that one is a product of the mind and body. He is well-known for his concept of dualism.,0.07407407407407407,0.7728312015533447,95,114,177
59,how many goals scored ronaldo in his career,over 670,OVER 700 GOALS,0.4,0.5945892333984375,82,175,165
