,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",TBA,0.0,0.33606481552124023,60,27,168
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.3404555320739746,59,15,162
2,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.36543893814086914,57,12,159
3,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.36794161796569824,59,12,165
4,when was the first robot used in surgery,1983,1985,0.0,0.3312263488769531,55,12,153
5,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.39517831802368164,59,15,162
6,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,0.2946782112121582,58,12,162
7,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Africa,0.11764705882352941,0.33408069610595703,55,9,156
8,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,0.27751731872558594,57,18,153
9,where was donovan mitchell picked in the draft,13th,13th,1.0,0.33785104751586914,58,12,162
10,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,Roof,0.14285714285714288,0.36453962326049805,57,24,159
11,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.3425416946411133,62,24,162
12,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.3173396587371826,56,12,156
13,how many beverly hills cops movies are there,three,3,0.0,0.24343657493591309,56,9,159
14,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.3452277183532715,60,24,156
15,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,League of Legends,0.0,0.45136570930480957,59,111,162
16,where does the last name hickey come from,Irish origin,Ireland,0.0,0.35266566276550293,56,17,156
17,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",Saudi Arabia,0.8,0.4469492435455322,56,12,156
18,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.39440059661865234,61,15,168
19,what is andy's sisters name in toy story,Molly,Molly,1.0,0.28186655044555664,57,12,159
20,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,"Ricardo ""RikRok"" Ducent",0.3333333333333333,0.42214059829711914,66,25,159
21,what is the largest catholic high school in america,St. Francis Preparatory School,Bishop Gorman High School,0.25,0.32611608505249023,60,34,156
22,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.36777734756469727,61,21,162
23,who sang take that look off your face,Marti Webb,Marti Webb,1.0,0.35779881477355957,56,17,153
24,who plays percy in the lost city of z,Charlie Hunnam,Robert Pattinson,0.0,0.26703596115112305,58,15,159
25,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.36234188079833984,56,12,156
26,who owns st andrews golf course in scotland,The St Andrews Links Trust,St Andrews Links Trust,1.0,0.3515503406524658,60,30,162
27,which city and state hosts the annual college world series,"Omaha, Nebraska","The annual College World Series is hosted in Omaha, Nebraska.",0.3636363636363636,0.4387838840484619,65,18,159
28,who is ted talking about in how i met your mother,Tracy McConnell,The mother,0.0,0.33382558822631836,58,12,162
29,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.4111592769622803,61,27,156
30,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,40 mmHg,0.11764705882352941,0.28348827362060547,60,18,162
31,what was uncle jesse's original last name on full house,Cochran,Cochran,1.0,0.36812686920166016,60,17,165
32,who pays the judgements on the judge mathis show,Greg Mathis,Plaintiff or defendant,0.0,0.36067676544189453,61,28,162
33,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.3381073474884033,61,32,153
34,who warned concord that the british were coming,Samuel Prescott,Paul Revere,0.0,0.32741665840148926,57,15,156
