,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,when is the last episode of season 8 of the walking dead,"March 18, 2018","The last episode of Season 8 of The Walking Dead is Episode 16, which aired on April 15, 2018.",0.1,1.8248324394226074,210,93,112
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,1.5562036037445068,179,172,110
2,what is the name of the most important jewish text,the Shulchan Aruch,The most important Jewish text is the Torah.,0.0,2.449159860610962,239,81,109
3,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,1.1594557762145996,171,67,111
4,when was the first robot used in surgery,1983,The first robot used in surgery was the Arthrobot in 1983,0.19999999999999998,1.5219008922576904,189,102,107
5,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop featuring Charli XCX,0.8000000000000002,1.2690746784210205,185,63,110
6,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,1.5655839443206787,198,143,110
7,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique","Zimbabwe is located in southern Africa, bordered by Zambia, Mozambique, South Africa, and Botswana with its capital city being Harare.",0.6111111111111112,1.4878554344177246,183,87,108
8,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,1.153815746307373,163,58,107
9,where was donovan mitchell picked in the draft,13th,Donovan Mitchell was picked 13th overall in the 2017 NBA Draft.,0.18181818181818182,2.028371572494507,199,65,110
10,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,"Apple Corps headquarters in London on January 30, 1969",0.27272727272727276,1.50557541847229,179,74,109
11,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,1.177644968032837,173,73,110
