,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,when is the last episode of season 8 of the walking dead,"March 18, 2018","The last episode of season 8 of The Walking Dead aired on April 15, 2018.",0.125,0.49397873878479004,79,21,58
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.516819953918457,75,144,56
2,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.4836618900299072,72,9,55
3,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.4583618640899658,75,18,57
4,when was the first robot used in surgery,1983,1985,0.0,0.7327272891998291,88,32,53
5,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop featuring Charli XCX,0.8000000000000002,1.0156805515289307,86,30,56
6,who are uncle owen and aunt beru related to,Shmi,Uncle Owen and Aunt Beru are related to Luke Skywalker.,0.0,0.4438495635986328,69,31,56
7,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",AFRICA,0.11764705882352941,0.4849526882171631,67,28,54
8,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,0.751751184463501,97,57,53
9,where was donovan mitchell picked in the draft,13th,13,0.0,0.5326662063598633,77,21,56
10,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,"London, England",0.0,0.6277086734771729,89,30,55
11,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.5964756011962891,81,24,56
12,when did power rangers tv show come out,"August 28, 1993","August 28, 1993",1.0,0.7184951305389404,80,25,54
13,how many beverly hills cops movies are there,three,There are three Beverly Hills Cop movies.,0.25,0.3638730049133301,63,8,55
14,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova holds the most women's Wimbledon titles with 9 wins.,0.33333333333333337,1.6650044918060303,174,163,54
15,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,It is a common expression used in informal situations to playfully acknowledge the coincidental matching of words or phrases.,0.10526315789473684,1.2588493824005127,148,97,56
16,where does the last name hickey come from,Irish origin,Irish origin,1.0,0.9465453624725342,112,106,54
17,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1.0,0.5867109298706055,78,24,54
18,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.808767557144165,83,23,58
19,what is andy's sisters name in toy story,Molly,Molly,1.0,0.4496598243713379,71,16,55
20,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,RikRok,0.5,0.5301685333251953,78,24,55
21,what is the largest catholic high school in america,St. Francis Preparatory School,Brother Rice High School,0.25,0.5623736381530762,81,19,54
22,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.5965533256530762,89,33,56
23,who sang take that look off your face,Marti Webb,Marti Webb,1.0,0.5354671478271484,76,16,53
24,who plays percy in the lost city of z,Charlie Hunnam,"Percy Fawcett is played by Robert Pattinson in the movie ""The Lost City of Z.""",0.0,0.534172534942627,78,29,55
25,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.7324442863464355,70,17,54
26,who owns st andrews golf course in scotland,The St Andrews Links Trust,St. Andrews Links Trust owns the St. Andrews golf course in Scotland.,0.5333333333333333,0.4455554485321045,71,13,56
27,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.4711744785308838,73,18,55
28,who is ted talking about in how i met your mother,Tracy McConnell,Tracy McConnell,1.0,1.0153887271881104,110,22,56
29,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.8269150257110596,79,26,54
30,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,0.0004 atm,0.0,1.7625088691711426,175,222,56
31,what was uncle jesse's original last name on full house,Cochran,Cochran,1.0,0.6139163970947266,76,19,57
32,who pays the judgements on the judge mathis show,Greg Mathis,Producers,0.0,0.5427391529083252,77,28,56
33,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.6673147678375244,94,34,53
34,who warned concord that the british were coming,Samuel Prescott,Paul Revere and William Dawes were two riders who warned Concord that the British were coming.,0.0,0.49244165420532227,73,21,54
35,who lasted the longest on alone season 2,David McIntyre,Dave Nessia,0.0,0.48056936264038086,72,16,54
36,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",The U.S. military base in Japan is located in Okinawa.,0.13333333333333333,0.437359094619751,68,24,53
37,who determines the size of the supreme court,Congress,CONGRESS,1.0,0.49773740768432617,70,42,53
38,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.4813685417175293,71,15,55
39,who designed the national coat of arms of south africa,Iaan Bekker,Freddie Burgers,0.0,0.5639042854309082,77,20,55
40,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,AFTER ANNOUNCEMENT OF ELECTION SCHEDULE,0.6153846153846154,0.7271385192871094,89,45,54
41,when did now thats what i call music come out,28 November 1983,"November 28, 1983",1.0,0.7371721267700195,89,33,55
42,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","Commonwealth Stadium in Edmonton, Alberta",0.7692307692307693,0.6642582416534424,84,27,55
43,where did the band bastille get their name,Bastille Day,Bastille Day,1.0,0.9233713150024414,102,77,54
44,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",Central United States,0.0,0.520045280456543,82,50,54
45,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine,1.0,0.6424095630645752,79,18,56
46,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,Atrial depolarization,1.0,0.6275627613067627,89,29,60
47,when did star trek the next generation first air,"September 28, 1987","September 28, 1987",1.0,0.6380109786987305,87,30,54
48,who sang the most wonderful summer of my life,Jackie Ward,"The song ""The Most Wonderful Summer of My Life"" was originally performed by Carlo Rustichelli in the 1972 film ""The Most Wonderful Evening of My Life."" There are various covers of this song by different artists, so there isn't one definitive answer to who sang it.",0.0,0.8384294509887695,111,36,54
49,how many oscars did on golden pond win,three,3,0.0,0.7595908641815186,97,7,54
50,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.5079159736633301,74,20,55
51,how many episodes on queen of the south season 1,13,13,1.0,0.46365976333618164,73,19,56
52,who is the existing prime minister of pakistan,Imran Khan,The existing Prime Minister of Pakistan is Imran Khan.,0.4,0.4226415157318115,64,11,53
53,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.5654139518737793,72,19,53
54,what is the orange stuff on my sushi,tobiko,Tobiko (fish roe),0.5,0.854440450668335,103,43,53
55,when did nsw last won a state of origin series,2018,2019,0.0,0.5276761054992676,75,20,56
56,when does life is strange before the storm part 2,October 2017,"October 19, 2017",0.8,1.046769618988037,101,45,56
57,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Sodom and Gomorrah are located near the Dead Sea in the Bible.,0.09523809523809525,1.076939582824707,117,23,57
58,when did the xbox 360 slim come out,in 2010,"June 18, 2010",0.4,0.6601896286010742,80,26,54
59,who spread the theory that one is a product of the mind and body,René Descartes,Descartes,0.6666666666666666,0.8194959163665771,96,89,59
60,how many goals scored ronaldo in his career,over 670,800+ goals,0.0,0.498445987701416,77,27,55
61,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese",Della Reese,0.23529411764705882,0.651137113571167,77,24,53
62,when did the hornets move to new orleans,2002–03 season,2002,0.0,0.435192346572876,71,17,55
63,fish appeared in the fossil record during the,the Cambrian explosion,Devonian period,0.0,0.7369334697723389,84,21,53
64,who died from the band faith no more,singer Chuck Mosley,Chuck Mosley,0.8,0.7158479690551758,85,37,53
65,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0.8571428571428571,0.6291451454162598,83,24,55
66,where do frankenstein and the monster first meet,the mountains,In the scientist's laboratory,0.0,0.7232551574707031,84,18,54
67,the human tendency to mimic other people’s behavior is an example of,Mirroring,social influence,0.0,0.37488508224487305,65,21,58
68,when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series,CANCELLED,0.0,0.6976368427276611,73,37,54
69,how is the head of the church of england,the monarch is the supreme governor,British monarch,0.3333333333333333,0.5851428508758545,72,27,55
70,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,Benzene,0.0,9.1078782081604,251,143,54
71,what does a nose ring mean in india,"a mark of beauty and social standing as well as a Hindu's honor to Parvati, the goddess of marriage",Cultural tradition and marital status,0.09523809523809523,0.889373779296875,108,88,53
72,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,Soviet Union,1.0,0.7295606136322021,93,29,64
73,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009","July 1, 2009",0.28571428571428575,0.6859242916107178,91,23,58
74,who plays frank in f is for family,Bill Burr,Bill Burr,1.0,0.6272051334381104,76,25,53
75,android operating system was acquired by google in,July 2005,2005,0.6666666666666666,0.37861108779907227,61,3,53
76,where does the flexor digitorum superficialis distally attach,The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers. These tendons have a split (Camper's Chiasm) at the end of them through which the tendons of flexor digitorum profundus pass.,Middle phalanges of the second to fifth digits,0.15789473684210525,0.6619768142700195,95,34,58
77,who played daniel in the bible mini series,Jake Canuso,Jake Canuso,1.0,0.7052648067474365,80,19,54
78,what does the star on the ghana flag mean,"adopted from the flag of the Black Star Line, a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922",Freedom and hope.,0.0,0.7057652473449707,82,16,55
79,when is the last movie of divergent coming out,TBA,No future release planned,0.0,1.0113897323608398,121,45,55
80,the former peterlee campus of east durham college,East Durham & Houghall Community College,What is your question about the former Peterlee campus of East Durham College?,0.35294117647058826,0.5028088092803955,70,15,55
81,the amount of light reflected from the front surface of common window glass is about,about 4% per surface,4%,0.4,0.51930832862854,83,176,60
82,how many cm is a 24 inch tv,61,60.96 cm,0.0,1.142721176147461,125,61,54
