,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.4031362533569336,56,4,52
1,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.28467679023742676,58,4,54
2,when was the first robot used in surgery,1983,1985,0.0,0.2942368984222412,54,15,50
3,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.36089110374450684,58,5,53
4,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,0.25663018226623535,57,4,53
5,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Africa,0.11764705882352941,0.2714424133300781,54,3,51
6,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,0.43423914909362793,56,5,50
7,where was donovan mitchell picked in the draft,13th,13th,1.0,0.3634631633758545,57,4,53
8,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,"Candlestick Park in San Francisco, California",0.0,0.4914255142211914,63,8,52
9,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.4065401554107666,61,8,53
10,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.3813309669494629,55,4,51
11,how many beverly hills cops movies are there,three,3,0.0,0.3404512405395508,55,3,52
12,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.3831770420074463,59,8,51
13,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,Childhood games,0.0,1.0163469314575195,110,14,53
14,where does the last name hickey come from,Irish origin,Irish or English origin,0.6666666666666666,0.3573799133300781,58,4,51
15,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",Saudi Arabia,0.8,0.35500526428222656,55,4,51
16,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Sheridan Smith,0.0,0.37490224838256836,60,5,55
